#Version: 1.0.0.0
ID;ObservationType;Details1;Details2;Details3;Details4;Details5;Details6;Deactivation;Class;Message;MinPendingTime;Latch1;Latch2;HigherPrioAlarm
0;Digital;algGVL.GPA_AI_ToHMI.Tg_ST1.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 1;t#0s;;;
1;Digital;algGVL.GPA_AI_ToHMI.Tg_ST2.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 2;t#0s;;;
2;Digital;algGVL.GPA_AI_ToHMI.Tg_ST3.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 3;t#0s;;;
3;Digital;algGVL.GPA_AI_ToHMI.Tg_ST4.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 4;t#0s;;;
4;Digital;algGVL.GPA_AI_ToHMI.Tg_ST5.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 5;t#0s;;;
5;Digital;algGVL.GPA_AI_ToHMI.Tg_ST6.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 6;t#0s;;;
6;Digital;algGVL.GPA_AI_ToHMI.Tg_ST7.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 7;t#0s;;;
7;Digital;algGVL.GPA_AI_ToHMI.Tg_ST8.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 8;t#0s;;;
8;Digital;algGVL.GPA_AI_ToHMI.Tg_ST9.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 9;t#0s;;;
9;Digital;algGVL.GPA_AI_ToHMI.Tg_ST10.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 10;t#0s;;;
10;Digital;algGVL.GPA_AI_ToHMI.Tg_ST11.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 11;t#0s;;;
11;Digital;algGVL.GPA_AI_ToHMI.Tg_ST12.fault_common;=;TRUE;;;;;Warning;Температура газа за СТ 12;t#0s;;;
12;Digital;algGVL.GPA_AI_ToHMI.Tair_GG.fault_common;=;TRUE;;;;;Warning;Т воздуха за компрессором ГГ;t#0s;;;
