#Version: 1.0.0.0
ID;ObservationType;Details1;Details2;Details3;Details4;Details5;Details6;Deactivation;Class;Message;MinPendingTime;Latch1;Latch2;HigherPrioAlarm
0;Digital;algGVL.GPA_APS.As_Nst;=;TRUE;;;;;Error;АС:Аварийно высокая частота вращения СТ;t#0s;;;
1;Digital;algGVL.GPA_APS.As_NstHigh;=;TRUE;;;;;Error;АС:Раскрутка ротора СТ;t#0s;;;
2;Digital;algGVL.GPA_APS.As_NstBrk;=;TRUE;;;;;Error;АС:Отказ всех каналов измерения СТ;t#0s;;;
3;Digital;algGVL.GPA_APS.As_NstDistort;=;TRUE;;;;;Error;АС:Отказ всех каналов измерения СТ, обнаруженный перекрестным контролем;t#0s;;;
4;Digital;algGVL.GPA_APS.Ab_STbrk;=;TRUE;;;;;Error;АС:Неисправность СТ;t#0s;;;
5;Digital;algGVL.GPA_APS.Ab_ObRaskrST;=;TRUE;;;;;Error;АС:Самопроизвольная раскрутка ротора СТ без смазки;t#0s;;;
6;Digital;algGVL.GPA_APS.Nb_osSTHigh;=;TRUE;;;;;Error;АС:Опасная осевая сила ротора СТ;t#0s;;;
7;Digital;algGVL.GPA_APS.As_Ngg;=;TRUE;;;;;Error;АС:Аварийно-высокая частота вращения ротора ГГ;t#0s;;;
8;Digital;algGVL.GPA_APS.As_NggHigh;=;TRUE;;;;;Error;АС:Высокая частота вращения ротора ГГ;t#0s;;;
9;Digital;algGVL.GPA_APS.As_NggLow;=;TRUE;;;;;Error;АС:Аварийно-низкая частота вращения ротора ГГ;t#0s;;;
10;Digital;algGVL.GPA_APS.As_NvdBrk;=;TRUE;;;;;Error;АС:Отказ всех каналов измерения ГГ;t#0s;;;
11;Digital;algGVL.GPA_APS.As_NvdDistort;=;TRUE;;;;;Error;АС:Отказ всех каналов измерения ГГ , обнаруженный перекрестным контролем;t#0s;;;
12;Digital;algGVL.GPA_APS.Ab_notRateGG;=;TRUE;;;;;Error;АС:Нет разгона;t#0s;;;
13;Digital;algGVL.GPA_APS.Ab_Ttzap;=;TRUE;;;;;Error;АС:Высокая температура газа за турбиной ГГ на запуске;t#0s;;;
14;Digital;algGVL.GPA_APS.Ab_Pogas;=;TRUE;;;;;Error;АС:Погасание КС;t#0s;;;
15;Digital;algGVL.GPA_APS.Ab_notRateGGFire;=;TRUE;;;;;Error;АС:Погасание КС после розжига;t#0s;;;
16;Digital;algGVL.GPA_APS.Ab_notFire;=;TRUE;;;;;Error;АС:Нет розжига;t#0s;;;
17;Digital;algGVL.GPA_APS.Ab_UTtgKS;=;TRUE;;;;;Error;АС:Утечка топливного газа в КС;t#0s;;;
18;Digital;algGVL.GPA_APS.Ab_UTtgKSno;=;TRUE;;;;;Error;АС:Утечка топливного газа не контролируется;t#0s;;;
19;Digital;algGVL.GPA_APS.Ab_PompazZap;=;TRUE;;;;;Error;АС:Срыв компрессора;t#0s;;;
20;Digital;algGVL.GPA_APS.As_Btn_EAO_PRU;=;TRUE;;;;;Error;АС:Кнопка "ЭАО" нажата (на ПРУ);t#0s;;;
21;Digital;algGVL.GPA_APS.As_Btn_AO_PRU;=;TRUE;;;;;Error;АС:Кнопка "АОсс" нажата (на ПРУ);t#0s;;;
22;Digital;algGVL.GPA_APS.Ns_Btn_NO_PRU;=;TRUE;;;;;Error;АС:Кнопка "НОсс" нажата (на ПРУ);t#0s;;;
23;Digital;algGVL.GPA_APS.As_AO_btnBU;=;TRUE;;;;;Error;АС:Кнопка "АОсс" нажата (в БУ);t#0s;;;
24;Digital;algGVL.GPA_APS.As_AO_SAUKC;=;TRUE;;;;;Error;АС:Кнопка "АОсс" нажата (в цеху);t#0s;;;
25;Digital;algGVL.GPA_APS.As_AO_SHTA;=;TRUE;;;;;Error;АС:Кнопка "АО" нажата (в ШТА);t#0s;;;
26;Digital;algGVL.GPA_APS.As_T_PON;=;TRUE;;;;;Error;АС:Аварийно высокая температура ПОП Н ;t#0s;;;
27;Digital;algGVL.GPA_APS.As_T_ZON;=;TRUE;;;;;Error;АС:Аварийно высокая температура ЗОП Н ;t#0s;;;
28;Digital;algGVL.GPA_APS.As_T_UPP;=;TRUE;;;;;Error;АС:Аварийно высокая температура УП Н (п.ч.) ;t#0s;;;
29;Digital;algGVL.GPA_APS.As_T_UPN;=;TRUE;;;;;Error;АС:Аварийно высокая температура УП Н (з.ч.) ;t#0s;;;
30;Digital;algGVL.GPA_APS.As_Pmsm;=;TRUE;;;;;Error;АС:Аварийно низкое  давление масла смазки УПН;t#0s;;;
31;Digital;algGVL.GPA_APS.As_dPmg;=;TRUE;;;;;Error;АС:Аварийно низкий перепад "масло-газ";t#0s;;;
32;Digital;algGVL.GPA_APS.As_V_PON_v;=;TRUE;;;;;Error;АС:Опасная вибрация ПОН - вертикальная;t#0s;;;
33;Digital;algGVL.GPA_APS.As_V_PON_g;=;TRUE;;;;;Error;АС:Опасная вибрация ПОН - горизонтизонтальная;t#0s;;;
34;Digital;algGVL.GPA_APS.As_V_ZON_v;=;TRUE;;;;;Error;АС:Опасная вибрация ЗОН - вертикальная;t#0s;;;
35;Digital;algGVL.GPA_APS.As_V_ZON_g;=;TRUE;;;;;Error;АС:Опасная вибрация ЗОН - горизонтальная;t#0s;;;
36;Digital;algGVL.GPA_APS.As_OsFw_N;=;TRUE;;;;;Error;АС:Аварийный осевой сдвиг Н вперед;t#0s;;;
37;Digital;algGVL.GPA_APS.As_OsBw_N;=;TRUE;;;;;Error;АС:Аварийный осевой сдвиг Н назад;t#0s;;;
38;Digital;algGVL.GPA_APS.As_minLm_MBN;=;TRUE;;;;;Error;АС:Аварийны уровень в МБН;t#0s;;;
39;Digital;algGVL.GPA_APS.As_Tg_outN;=;TRUE;;;;;Error;АС:Высокая температура газа на выходе Н;t#0s;;;
40;Digital;algGVL.GPA_APS.As_Pg_outN;=;TRUE;;;;;Error;АС:Высокое давление газа на выходе Н;t#0s;;;
41;Digital;algGVL.GPA_APS.As_Fire;=;TRUE;;;;;Error;АС:Пожар ГПА;t#0s;;;
42;Digital;algGVL.GPA_APS.As_AO_gas;=;TRUE;;;;;Error;АС:АО по загазованности;t#0s;;;
43;Digital;algGVL.GPA_APS.As_ARM_AOss;=;TRUE;;;;;Error;АС:АОсс по команде оператора;t#0s;;;
44;Digital;algGVL.GPA_APS.Ab_ARM_AObs;=;TRUE;;;;;Error;АС:АОбс по команде оператора;t#0s;;;
