#Version: 1.0.0.0
ID;ObservationType;Details1;Details2;Details3;Details4;Details5;Details6;Deactivation;Class;Message;MinPendingTime;Latch1;Latch2;HigherPrioAlarm
0;Digital;algGVL.GPA_APS.P_NstHigh;=;TRUE;;;;;Warning;Высокая частота вращения ротора СТ;t#0s;;;
1;Digital;algGVL.GPA_APS.P_VibegSTMin;=;TRUE;;;;;Warning;Мало время выбега ротора СТ;t#0s;;;
2;Digital;algGVL.GPA_APS.P_ObRaskrST;=;TRUE;;;;;Warning;Самопроизвольная раскрутка ротора СТ;t#0s;;;
3;Digital;algGVL.GPA_APS.P_osSTHigh;=;TRUE;;;;;Warning;Повышенная осевая сила ротора СТ;t#0s;;;
4;Digital;algGVL.GPA_APS.P_VibegGGMin;=;TRUE;;;;;Warning;Время выбега ротора ГГ мало;t#0s;;;
5;Digital;algGVL.GPA_APS.P_TtDistort;=;TRUE;;;;;Warning;Отказ всех каналов измерения ТТ, обнаруженный перекрестным контролем;t#0s;;;
6;Digital;algGVL.GPA_APS.P_TtBrk;=;TRUE;;;;;Warning;Отказ всех каналов измерения ТТ, обнаруженный функциональным контролем;t#0s;;;
7;Digital;algGVL.GPA_APS.P_Tt1BrkDop;=;TRUE;;;;;Warning;Отказ 1-го канала измерения температуры газа за турбиной ГГ на  режимах, обнаруженный допусковым контролем;t#0s;;;
8;Digital;algGVL.GPA_APS.P_Tt2BrkDop;=;TRUE;;;;;Warning;Отказ 2-го канала измерения температуры газа за турбиной ГГ на  режимах, обнаруженный допусковым контролем;t#0s;;;
9;Digital;algGVL.GPA_APS.P_Ttzap1BrkDop;=;TRUE;;;;;Warning;Отказ 1-го канала измерения ТТЗАП , обнаруженный допусковым контролем;t#0s;;;
10;Digital;algGVL.GPA_APS.P_Ttzap2BrkDop;=;TRUE;;;;;Warning;Отказ 2-го канала измерения ТТЗАП , обнаруженный допусковым контролем;t#0s;;;
11;Digital;algGVL.GPA_APS.P_TtzapBrk;=;TRUE;;;;;Warning;Отказ всех каналов измерения ТТЗАП;t#0s;;;
12;Digital;algGVL.GPA_APS.P_TtzapDistort;=;TRUE;;;;;Warning;Отказ всех каналов измерения ТТЗАП, обнаруженный перекрестным контролем;t#0s;;;
13;Digital;algGVL.GPA_APS.P_T_PON;=;TRUE;;;;;Warning;Повышенная температура ПОП Н ;t#0s;;;
14;Digital;algGVL.GPA_APS.P_T_ZON;=;TRUE;;;;;Warning;Повышенная температура ЗОП Н ;t#0s;;;
15;Digital;algGVL.GPA_APS.P_T_UPP;=;TRUE;;;;;Warning;Повышенная температура УП Н (п.ч.) ;t#0s;;;
16;Digital;algGVL.GPA_APS.P_T_UPN;=;TRUE;;;;;Warning;Повышенная температура УП Н (з.ч.) ;t#0s;;;
17;Digital;algGVL.GPA_APS.P_Pmsm;=;TRUE;;;;;Warning;Пониженное давление масла смазки УПН;t#0s;;;
18;Digital;algGVL.GPA_APS.P_dPmg;=;TRUE;;;;;Warning;Низкий перепад "масло-газ";t#0s;;;
19;Digital;algGVL.GPA_APS.P_V_PON_v;=;TRUE;;;;;Warning;Повышенная вибрация ПОН - вертикальная;t#0s;;;
20;Digital;algGVL.GPA_APS.P_V_PON_g;=;TRUE;;;;;Warning;Повышенная вибрация ПОН - горизонтальная;t#0s;;;
21;Digital;algGVL.GPA_APS.P_V_ZON_v;=;TRUE;;;;;Warning;Повышенная вибрация ЗОН - вертикальная;t#0s;;;
22;Digital;algGVL.GPA_APS.P_V_ZON_g;=;TRUE;;;;;Warning;Повышенная вибрация ЗОН - горизонтальная;t#0s;;;
23;Digital;algGVL.GPA_APS.P_Lm_MBN;=;TRUE;;;;;Warning;Минимальный уровень в МБН;t#0s;;;
24;Digital;algGVL.GPA_APS.P_Blck_TEN_Lm_MBN;=;TRUE;;;;;Warning;Блокировка включения ТЭН в МБН;t#0s;;;
25;Digital;algGVL.GPA_APS.P_maxLm_MBN;=;TRUE;;;;;Warning;Максимальный уровень в МБН;t#0s;;;
26;Digital;algGVL.GPA_APS.P_Tg_outN;=;TRUE;;;;;Warning;Повышенная температура газа на выходе Н;t#0s;;;
27;Digital;algGVL.GPA_APS.P_Pg_outN;=;TRUE;;;;;Warning;Повышенная давление газа на выходе Н;t#0s;;;
28;Digital;algGVL.GPA_APS.P_SurgeLow;=;TRUE;;;;;Warning;Низкий запас по помпажу;t#0s;;;
29;Digital;algGVL.GPA_APS.P_loTm_MBD;=;TRUE;;;;;Warning;Низкая температура масла в МБД ;t#0s;;;
30;Digital;algGVL.GPA_APS.P_hiTm_MBD;=;TRUE;;;;;Warning;Высокая температура масла в МБД;t#0s;;;
31;Digital;algGVL.GPA_APS.P_PmvhDlow;=;TRUE;;;;;Warning;Пониженное давление масла на входе в двигатель;t#0s;;;
32;Digital;algGVL.GPA_APS.P_Tg_ST;=;TRUE;;;;;Warning;Повышенная температура газа за СТ;t#0s;;;
33;Digital;algGVL.GPA_APS.P_TstHigh;=;TRUE;;;;;Warning;Температура газа за СТ повышенная;t#0s;;;
34;Digital;algGVL.GPA_APS.P_deltaTstHigh;=;TRUE;;;;;Warning;Высокая неравномерность температуры газа за СТ;t#0s;;;
35;Digital;algGVL.GPA_APS.P_Tst1BrkDop;=;TRUE;;;;;Warning;Отказ 1-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
36;Digital;algGVL.GPA_APS.P_Tst1BrkOtkl;=;TRUE;;;;;Warning;Отказ 1-го канала измерения Тст, по отклонению от среднего;t#0s;;;
37;Digital;algGVL.GPA_APS.P_Tst2BrkDop;=;TRUE;;;;;Warning;Отказ 2-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
38;Digital;algGVL.GPA_APS.P_Tst2BrkOtkl;=;TRUE;;;;;Warning;Отказ 2-го канала измерения Тст, по отклонению от среднего;t#0s;;;
39;Digital;algGVL.GPA_APS.P_Tst3BrkDop;=;TRUE;;;;;Warning;Отказ 3-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
40;Digital;algGVL.GPA_APS.P_Tst3BrkOtkl;=;TRUE;;;;;Warning;Отказ 3-го канала измерения Тст, по отклонению от среднего;t#0s;;;
41;Digital;algGVL.GPA_APS.P_Tst4BrkDop;=;TRUE;;;;;Warning;Отказ 4-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
42;Digital;algGVL.GPA_APS.P_Tst4BrkOtkl;=;TRUE;;;;;Warning;Отказ 4-го канала измерения Тст, по отклонению от среднего;t#0s;;;
43;Digital;algGVL.GPA_APS.P_Tst5BrkDop;=;TRUE;;;;;Warning;Отказ 5-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
44;Digital;algGVL.GPA_APS.P_Tst5BrkOtkl;=;TRUE;;;;;Warning;Отказ 5-го канала измерения Тст, по отклонению от среднего;t#0s;;;
45;Digital;algGVL.GPA_APS.P_Tst6BrkDop;=;TRUE;;;;;Warning;Отказ 6-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
46;Digital;algGVL.GPA_APS.P_Tst6BrkOtkl;=;TRUE;;;;;Warning;Отказ 6-го канала измерения Тст, по отклонению от среднего;t#0s;;;
47;Digital;algGVL.GPA_APS.P_Tst7BrkDop;=;TRUE;;;;;Warning;Отказ 7-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
48;Digital;algGVL.GPA_APS.P_Tst7BrkOtkl;=;TRUE;;;;;Warning;Отказ 7-го канала измерения Тст, по отклонению от среднего;t#0s;;;
49;Digital;algGVL.GPA_APS.P_Tst8BrkDop;=;TRUE;;;;;Warning;Отказ 8-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
50;Digital;algGVL.GPA_APS.P_Tst8BrkOtkl;=;TRUE;;;;;Warning;Отказ 8-го канала измерения Тст, по отклонению от среднего;t#0s;;;
51;Digital;algGVL.GPA_APS.P_Tst9BrkDop;=;TRUE;;;;;Warning;Отказ 9-го канала измерения Тст, обнаруженный допусковым контролем;t#0s;;;
52;Digital;algGVL.GPA_APS.P_Tst9BrkOtkl;=;TRUE;;;;;Warning;Отказ 9-го канала измерения Тст, по отклонению от среднего;t#0s;;;
